K,Inertia,Silhouette,Davies-Bouldin,Calinski-Harabasz
2,113679.90487750906,0.21702694675202933,1.7643298233939937,2109.243474577867
3,103177.60583316145,0.2005702613850208,1.6062588563566835,1609.9113928948066
4,93348.49706754083,0.23634543368322952,1.5034076261109943,1495.1196482984228
5,83387.86458921694,0.271818371461531,1.3600391678292216,1517.9889855075426
6,74907.85004720133,0.2983909948913575,1.3805816839161358,1550.9790318866048
7,67525.97052903334,0.3242761086824788,1.3702503410154232,1593.9473713718103
8,60647.21736534784,0.34517278913134697,1.3227809098647094,1663.601994531153
9,52021.33171529835,0.37656620057288476,1.20519248392366,1879.1812747337265
10,45625.743974452635,0.3916746632914436,1.1469972442924754,2041.3260907314236
